FacilityId,County,Place,Class,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic
IL0314030,Cook,Arlington Heights,village,Arlington Heights (PWS),3/27/19 7:22,2018,23244,0,23244,6513,0,0,0,0,16731,0,0
IL1790050,Tazewell,Armington,village,Armington (PWS),4/11/2019 9:51:53 AM,2018,167,0,167,0,0,130,7,0,0,0,30
IL1130100,McLean,Arrowsmith,village,Arrowsmith (PWS),3/20/19 14:21,2018,125,0,125,0,0,124,0,0,0,0,1
IL1394040,Moultrie,Arthur,village,Arthur (PWS),4/12/19 8:23,2018,1131,0,1131,0,859,0,0,0,221,0,51
IL0750050,Iroquois,Ashkum,village,Ashkum (PWS),3/18/19 8:13,2018,343,0,343,0,48,0,0,0,288,0,7
IL0170100,Cass,Ashland,village,Ashland (PWS),4/4/19 9:21,2018,619,0,619,0,0,0,0,605,0,0,14
IL1890100,Washington,Ashley,city,Ashley (PWS),4/11/19 10:59,2018,358,0,358,0,0,0,0,5,25,0,328
IL0290050,Coles,Ashmore,village,Ashmore (PWS),5/30/19 9:45,2018,365,0,365,3,162,83,1,0,74,0,42
IL1030100,Lee,Ashton,village,Ashton (PWS),5/28/19 12:01,2018,418,0,418,0,120,73,150,0,75,0,0
IL0210050,Christian,Assumption,city,Assumption (PWS),4/18/19 10:08,2018,567,0,567,55,270,0,7,0,227,0,8
IL0570050,Fulton,Astoria,town,Astoria (PWS),4/5/19 11:27,2018,601,3,598,2,37,0,80,0,68,0,414
IL1290050,Menard,Athens,city,Athens (PWS),3/13/19 15:57,2018,1787,1,1786,0,0,170,135,0,1382,0,100
IL0730200,Henry,Atkinson,town,Atkinson (PWS),4/15/19 13:36,2018,480,0,480,0,80,0,50,0,150,0,200
IL1070050,Logan,Atlanta,city,Atlanta (PWS),4/9/19 14:05,2018,800,0,800,0,800,0,0,0,0,0,0
IL0414060,Douglas,Atwood,village,Atwood (PWS),3/26/19 15:04,2018,540,0,540,0,125,0,0,0,376,0,39
IL1670050,Sangamon,Auburn,city,Auburn (PWS),3/25/2019 8:55:29 AM,2018,1914,0,1914,0,0,0,0,1914,0,0,0
IL0670050,Hancock,Augusta,village,Augusta (PWS),4/2/19 14:06,2018,314,0,314,0,114,0,0,0,100,0,100
IL0894070,Kane,Aurora,city,Aurora (PWS),4/8/19 14:58,2018,49177,0,49177,19912,130,0,137,0,28735,259,4
IL0770050,Jackson,Ava,city,Ava (PWS),4/15/19 10:29,2018,506,0,506,0,0,0,0,506,0,0,0
IL0270100,Clinton,Aviston,village,Aviston (PWS),5/3/19 16:20,2018,974,0,974,0,0,0,0,0,806,0,168
IL0570100,Fulton,Avon,village,Avon (PWS),3/25/19 9:02,2018,388,4,384,0,0,0,0,0,234,4,150
IL1570050,Randolph,Baldwin,village,Baldwin (PWS),4/11/19 11:05,2018,273,0,273,0,0,57,5,0,0,0,211
IL0970100,Lake,Bannockburn,village,Bannockburn (PWS),3/19/19 15:09,2018,213,0,213,2,0,6,12,0,192,0,1
